# revision=b417ed538d0c7c9c2e49bf9914340c81663c360f
# architecture=x86_64 vendor=amd family=25 model=17 stepping=1 microarchitecture="" features=511
# cache_line_bytes=64 l1_data_bytes=32768 l2_bytes=1048576 l3_bytes=33554432 physical_cores=2 logical_cores=4
# requested_threads=1 effective_threads=1 affinity=none spin=adaptive spin_iterations=10000 spin_duration_ns=0 uses_smt=0 uses_efficiency_cores=0 nested=0
# visible_processors=0:0 0:1 0:2 0:3
dtype,workload,m,n,k,trans_a,trans_b,configuration,tile_m,tile_n,tile_k,pack_b_minimum_elements,repetition,duration_ns
1,small,16,32,32,0,0,0,64,256,256,16384,0,21852
1,small,16,32,32,0,0,1,32,256,256,16384,0,21592
1,small,16,32,32,0,0,2,64,64,256,16384,0,21432
1,small,16,32,32,0,0,3,64,256,64,16384,0,21673
1,small,16,32,32,0,0,4,64,256,256,0,0,19920
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,0,21422
1,small,16,32,32,0,0,6,32,64,128,16384,0,21693
1,small,16,32,32,0,0,1,32,256,256,16384,1,21072
1,small,16,32,32,0,0,2,64,64,256,16384,1,21092
1,small,16,32,32,0,0,3,64,256,64,16384,1,21302
1,small,16,32,32,0,0,4,64,256,256,0,1,20210
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,1,21362
1,small,16,32,32,0,0,6,32,64,128,16384,1,21342
1,small,16,32,32,0,0,0,64,256,256,16384,1,20871
1,small,16,32,32,0,0,2,64,64,256,16384,2,20931
1,small,16,32,32,0,0,3,64,256,64,16384,2,20801
1,small,16,32,32,0,0,4,64,256,256,0,2,18217
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,2,20160
1,small,16,32,32,0,0,6,32,64,128,16384,2,20390
1,small,16,32,32,0,0,0,64,256,256,16384,2,21382
1,small,16,32,32,0,0,1,32,256,256,16384,2,21061
1,small,16,32,32,0,0,3,64,256,64,16384,3,21031
1,small,16,32,32,0,0,4,64,256,256,0,3,19278
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,3,20410
1,small,16,32,32,0,0,6,32,64,128,16384,3,20570
1,small,16,32,32,0,0,0,64,256,256,16384,3,20841
1,small,16,32,32,0,0,1,32,256,256,16384,3,34622
1,small,16,32,32,0,0,2,64,64,256,16384,3,20531
1,small,16,32,32,0,0,4,64,256,256,0,4,19800
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,4,20941
1,small,16,32,32,0,0,6,32,64,128,16384,4,20871
1,small,16,32,32,0,0,0,64,256,256,16384,4,20932
1,small,16,32,32,0,0,1,32,256,256,16384,4,20661
1,small,16,32,32,0,0,2,64,64,256,16384,4,20701
1,small,16,32,32,0,0,3,64,256,64,16384,4,21042
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,5,21272
1,small,16,32,32,0,0,6,32,64,128,16384,5,21813
1,small,16,32,32,0,0,0,64,256,256,16384,5,21803
1,small,16,32,32,0,0,1,32,256,256,16384,5,22003
1,small,16,32,32,0,0,2,64,64,256,16384,5,21922
1,small,16,32,32,0,0,3,64,256,64,16384,5,21893
1,small,16,32,32,0,0,4,64,256,256,0,5,20671
1,small,16,32,32,0,0,6,32,64,128,16384,6,22023
1,small,16,32,32,0,0,0,64,256,256,16384,6,21752
1,small,16,32,32,0,0,1,32,256,256,16384,6,21813
1,small,16,32,32,0,0,2,64,64,256,16384,6,20882
1,small,16,32,32,0,0,3,64,256,64,16384,6,21091
1,small,16,32,32,0,0,4,64,256,256,0,6,20180
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,6,21252
1,skinny,4,256,128,0,0,0,64,256,256,16384,0,178987
1,skinny,4,256,128,0,0,1,32,256,256,16384,0,139960
1,skinny,4,256,128,0,0,2,64,64,256,16384,0,138937
1,skinny,4,256,128,0,0,3,64,256,64,16384,0,133850
1,skinny,4,256,128,0,0,4,64,256,256,0,0,140139
1,skinny,4,256,128,0,0,5,64,256,256,9223372036854775807,0,145938
1,skinny,4,256,128,0,0,6,32,64,128,16384,0,141271
1,skinny,4,256,128,0,0,1,32,256,256,16384,1,168101
1,skinny,4,256,128,0,0,2,64,64,256,16384,1,138668
1,skinny,4,256,128,0,0,3,64,256,64,16384,1,135763
1,skinny,4,256,128,0,0,4,64,256,256,0,1,135783
1,skinny,4,256,128,0,0,5,64,256,256,9223372036854775807,1,144456
1,skinny,4,256,128,0,0,6,32,64,128,16384,1,135273
1,skinny,4,256,128,0,0,0,64,256,256,16384,1,135863
1,skinny,4,256,128,0,0,2,64,64,256,16384,2,152197
1,skinny,4,256,128,0,0,3,64,256,64,16384,2,135773
1,skinny,4,256,128,0,0,4,64,256,256,0,2,140249
1,skinny,4,256,128,0,0,5,64,256,256,9223372036854775807,2,146199
1,skinny,4,256,128,0,0,6,32,64,128,16384,2,139919
1,skinny,4,256,128,0,0,0,64,256,256,16384,2,140019
1,skinny,4,256,128,0,0,1,32,256,256,16384,2,140009
1,skinny,4,256,128,0,0,3,64,256,64,16384,3,147671
1,skinny,4,256,128,0,0,4,64,256,256,0,3,140400
1,skinny,4,256,128,0,0,5,64,256,256,9223372036854775807,3,147390
1,skinny,4,256,128,0,0,6,32,64,128,16384,3,136484
1,skinny,4,256,128,0,0,0,64,256,256,16384,3,137145
1,skinny,4,256,128,0,0,1,32,256,256,16384,3,133790
1,skinny,4,256,128,0,0,2,64,64,256,16384,3,135352
1,skinny,4,256,128,0,0,4,64,256,256,0,4,165538
1,skinny,4,256,128,0,0,5,64,256,256,9223372036854775807,4,140420
1,skinny,4,256,128,0,0,6,32,64,128,16384,4,134251
1,skinny,4,256,128,0,0,0,64,256,256,16384,4,134961
1,skinny,4,256,128,0,0,1,32,256,256,16384,4,135202
1,skinny,4,256,128,0,0,2,64,64,256,16384,4,136124
1,skinny,4,256,128,0,0,3,64,256,64,16384,4,135333
1,skinny,4,256,128,0,0,5,64,256,256,9223372036854775807,5,161592
1,skinny,4,256,128,0,0,6,32,64,128,16384,5,140300
1,skinny,4,256,128,0,0,0,64,256,256,16384,5,139900
1,skinny,4,256,128,0,0,1,32,256,256,16384,5,138908
1,skinny,4,256,128,0,0,2,64,64,256,16384,5,138076
1,skinny,4,256,128,0,0,3,64,256,64,16384,5,134541
1,skinny,4,256,128,0,0,4,64,256,256,0,5,139919
1,skinny,4,256,128,0,0,6,32,64,128,16384,6,153049
1,skinny,4,256,128,0,0,0,64,256,256,16384,6,140019
1,skinny,4,256,128,0,0,1,32,256,256,16384,6,140139
1,skinny,4,256,128,0,0,2,64,64,256,16384,6,139108
1,skinny,4,256,128,0,0,3,64,256,64,16384,6,134371
1,skinny,4,256,128,0,0,4,64,256,256,0,6,139689
1,skinny,4,256,128,0,0,5,64,256,256,9223372036854775807,6,148061
1,square,128,128,128,0,0,0,64,256,256,16384,0,1616146
1,square,128,128,128,0,0,1,32,256,256,16384,0,1595084
