# revision=b417ed538d0c7c9c2e49bf9914340c81663c360f
# architecture=x86_64 vendor=amd family=25 model=17 stepping=1 microarchitecture="" features=511
# cache_line_bytes=64 l1_data_bytes=32768 l2_bytes=1048576 l3_bytes=33554432 physical_cores=2 logical_cores=4
# requested_threads=4 effective_threads=4 affinity=none spin=adaptive spin_iterations=10000 spin_duration_ns=0 uses_smt=1 uses_efficiency_cores=0 nested=0
# visible_processors=0:0 0:1 0:2 0:3 
dtype,workload,m,n,k,trans_a,trans_b,configuration,tile_m,tile_n,tile_k,pack_b_minimum_elements,repetition,duration_ns
1,small,16,32,32,0,0,0,64,256,256,16384,0,11498
1,small,16,32,32,0,0,1,32,256,256,16384,0,11357
1,small,16,32,32,0,0,2,64,64,256,16384,0,19469
1,small,16,32,32,0,0,3,64,256,64,16384,0,11377
1,small,16,32,32,0,0,4,64,256,256,0,0,11217
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,0,11367
1,small,16,32,32,0,0,6,32,64,128,16384,0,11367
1,small,16,32,32,0,0,1,32,256,256,16384,1,11397
1,small,16,32,32,0,0,2,64,64,256,16384,1,19720
1,small,16,32,32,0,0,3,64,256,64,16384,1,11387
1,small,16,32,32,0,0,4,64,256,256,0,1,11027
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,1,11387
1,small,16,32,32,0,0,6,32,64,128,16384,1,11357
1,small,16,32,32,0,0,0,64,256,256,16384,1,11357
1,small,16,32,32,0,0,2,64,64,256,16384,2,19960
1,small,16,32,32,0,0,3,64,256,64,16384,2,11387
1,small,16,32,32,0,0,4,64,256,256,0,2,10987
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,2,11377
1,small,16,32,32,0,0,6,32,64,128,16384,2,11388
1,small,16,32,32,0,0,0,64,256,256,16384,2,11367
1,small,16,32,32,0,0,1,32,256,256,16384,2,19589
1,small,16,32,32,0,0,3,64,256,64,16384,3,11397
1,small,16,32,32,0,0,4,64,256,256,0,3,10976
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,3,11387
1,small,16,32,32,0,0,6,32,64,128,16384,3,11367
1,small,16,32,32,0,0,0,64,256,256,16384,3,11377
1,small,16,32,32,0,0,1,32,256,256,16384,3,19700
1,small,16,32,32,0,0,2,64,64,256,16384,3,11367
1,small,16,32,32,0,0,4,64,256,256,0,4,11017
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,4,11357
1,small,16,32,32,0,0,6,32,64,128,16384,4,11377
1,small,16,32,32,0,0,0,64,256,256,16384,4,11367
1,small,16,32,32,0,0,1,32,256,256,16384,4,19589
1,small,16,32,32,0,0,2,64,64,256,16384,4,11377
1,small,16,32,32,0,0,3,64,256,64,16384,4,11357
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,5,11397
1,small,16,32,32,0,0,6,32,64,128,16384,5,11367
1,small,16,32,32,0,0,0,64,256,256,16384,5,11357
1,small,16,32,32,0,0,1,32,256,256,16384,5,19450
1,small,16,32,32,0,0,2,64,64,256,16384,5,11387
1,small,16,32,32,0,0,3,64,256,64,16384,5,11387
1,small,16,32,32,0,0,4,64,256,256,0,5,11066
1,small,16,32,32,0,0,6,32,64,128,16384,6,14582
1,small,16,32,32,0,0,0,64,256,256,16384,6,19028
1,small,16,32,32,0,0,1,32,256,256,16384,6,12969
1,small,16,32,32,0,0,2,64,64,256,16384,6,11377
1,small,16,32,32,0,0,3,64,256,64,16384,6,28032
1,small,16,32,32,0,0,4,64,256,256,0,6,11217
1,small,16,32,32,0,0,5,64,256,256,9223372036854775807,6,14582
1,skinny,4,256,128,0,0,0,64,256,256,16384,0,77546
1,skinny,4,256,128,0,0,1,32,256,256,16384,0,88002
1,skinny,4,256,128,0,0,2,64,64,256,16384,0,77906
1,skinny,4,256,128,0,0,3,64,256,64,16384,0,77095
1,skinny,4,256,128,0,0,4,64,256,256,0,0,78177
1,skinny,4,256,128,0,0,5,64,256,256,9223372036854775807,0,63715
1,skinny,4,256,128,0,0,6,32,64,128,16384,0,77435
1,skinny,4,256,128,0,0,1,32,256,256,16384,1,77736
1,skinny,4,256,128,0,0,2,64,64,256,16384,1,77616
1,skinny,4,256,128,0,0,3,64,256,64,16384,1,77226
1,skinny,4,256,128,0,0,4,64,256,256,0,1,77726
1,skinny,4,256,128,0,0,5,64,256,256,9223372036854775807,1,63645
1,skinny,4,256,128,0,0,6,32,64,128,16384,1,77556
1,skinny,4,256,128,0,0,0,64,256,256,16384,1,77796
1,skinny,4,256,128,0,0,2,64,64,256,16384,2,86860
1,skinny,4,256,128,0,0,3,64,256,64,16384,2,77516
1,skinny,4,256,128,0,0,4,64,256,256,0,2,77717
1,skinny,4,256,128,0,0,5,64,256,256,9223372036854775807,2,61202
1,skinny,4,256,128,0,0,6,32,64,128,16384,2,77516
1,skinny,4,256,128,0,0,0,64,256,256,16384,2,77576
1,skinny,4,256,128,0,0,1,32,256,256,16384,2,77736
1,skinny,4,256,128,0,0,3,64,256,64,16384,3,77566
1,skinny,4,256,128,0,0,4,64,256,256,0,3,77876
1,skinny,4,256,128,0,0,5,64,256,256,9223372036854775807,3,55082
1,skinny,4,256,128,0,0,6,32,64,128,16384,3,78247
1,skinny,4,256,128,0,0,0,64,256,256,16384,3,77647
1,skinny,4,256,128,0,0,1,32,256,256,16384,3,147771
1,skinny,4,256,128,0,0,2,64,64,256,16384,3,81763
1,skinny,4,256,128,0,0,4,64,256,256,0,4,80059
1,skinny,4,256,128,0,0,5,64,256,256,9223372036854775807,4,58798
1,skinny,4,256,128,0,0,6,32,64,128,16384,4,80069
1,skinny,4,256,128,0,0,0,64,256,256,16384,4,80150
1,skinny,4,256,128,0,0,1,32,256,256,16384,4,79940
1,skinny,4,256,128,0,0,2,64,64,256,16384,4,80160
1,skinny,4,256,128,0,0,3,64,256,64,16384,4,80210
1,skinny,4,256,128,0,0,5,64,256,256,9223372036854775807,5,62574
1,skinny,4,256,128,0,0,6,32,64,128,16384,5,80420
1,skinny,4,256,128,0,0,0,64,256,256,16384,5,87951
1,skinny,4,256,128,0,0,1,32,256,256,16384,5,98617
1,skinny,4,256,128,0,0,2,64,64,256,16384,5,77977
1,skinny,4,256,128,0,0,3,64,256,64,16384,5,77396
1,skinny,4,256,128,0,0,4,64,256,256,0,5,79880
1,skinny,4,256,128,0,0,6,32,64,128,16384,6,78097
1,skinny,4,256,128,0,0,0,64,256,256,16384,6,77977
1,skinny,4,256,128,0,0,1,32,256,256,16384,6,77977
1,skinny,4,256,128,0,0,2,64,64,256,16384,6,77846
1,skinny,4,256,128,0,0,3,64,256,64,16384,6,78988
1,skinny,4,256,128,0,0,4,64,256,256,0,6,78076
1,skinny,4,256,128,0,0,5,64,256,256,9223372036854775807,6,63505
1,square,128,128,128,0,0,0,64,256,256,16384,0,691975
1,square,128,128,128,0,0,1,32,256,256,16384,0,469112
1,square,128,128,128,0,0,2,64,64,256,16384,0,457645
1,square,128,128,128,0,0,3,64,256,64,16384,0,653648
1,square,128,128,128,0,0,4,64,256,256,0,0,665866
1,square,128,128,128,0,0,5,64,256,256,9223372036854775807,0,775931
1,square,128,128,128,0,0,6,32,64,128,16384,0,479026
1,square,128,128,128,0,0,1,32,256,256,16384,1,462422
1,square,128,128,128,0,0,2,64,64,256,16384,1,478796
1,square,128,128,128,0,0,3,64,256,64,16384,1,639928
1,square,128,128,128,0,0,4,64,256,256,0,1,673999
